FindingID,Tool,RuleID,CWE,Severity,Confidence,FilePath,CodeLocation,Message
F00001,Semgrep OSS,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,CWE-611,error,very-high,final_dataset/generated_code/chatgpt/java/ImportCustomerRecordsXML-chatgpt.java,Line 13,"DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities decla"
F00002,Semgrep OSS,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,CWE-611,error,very-high,final_dataset/generated_code/chatgpt/java/ImportCustomerRecordsXMLDetailed-chatgpt.java,Line 29,"DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities decla"
F00003,Semgrep OSS,java.lang.security.use-snakeyaml-constructor.use-snakeyaml-constructor,CWE-502,warning,very-high,final_dataset/generated_code/chatgpt/java/LoadApplicationSettingsYAML-chatgpt.java,Line 12-13,"Used SnakeYAML org.yaml.snakeyaml.Yaml() constructor with no arguments, which is vulnerable to deserialization attacks. Use the one-argument Yaml(...) constructor instead, with SafeConstructor or a custom Constructor as the argument."
F00004,Semgrep OSS,java.lang.security.use-snakeyaml-constructor.use-snakeyaml-constructor,CWE-502,warning,very-high,final_dataset/generated_code/chatgpt/java/LoadApplicationSettingsYAMLDetailed-chatgpt.java,Line 13-16,"Used SnakeYAML org.yaml.snakeyaml.Yaml() constructor with no arguments, which is vulnerable to deserialization attacks. Use the one-argument Yaml(...) constructor instead, with SafeConstructor or a custom Constructor as the argument."
F00005,Semgrep OSS,java.spring.security.injection.tainted-url-host.tainted-url-host,CWE-918,error,very-high,final_dataset/generated_code/chatgpt/java/RedirectExternalURLDetailed-chatgpt.java,Line 25,"User data flows into the host portion of this manually-constructed URL. This could allow an attacker to send data to their own server, potentially exposing sensitive data such as cookies or authorization information sent with this request. They could also probe internal servers or other resources th"
F00006,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-01_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00007,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-02_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00008,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-03_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00009,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-04_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00010,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-05_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00011,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-06_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00012,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-07_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00013,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-08_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00014,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-09_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00015,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-10_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00016,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-11_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
