GenerationID,SampleID,PromptID,TaskID,TaskName,Language,PromptStyle,ModelName,ModelVersion,GenerationMethod,GenerationDate,PromptText,GeneratedFile
GPT-P0001-G1,GPT-P0001,P0001,SQL-01,Authenticate a Student Using Username and Password,Java,Insecure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Java application that authenticates a student using a username and password stored in a relational database.The application should allow a user to enter their username and password. verify the credentials against the database. and display whether authentication is successful or not.Return only the complete Java source code.,SQL-01_Java_Naive_ChatGPT.java
GPT-P0002-G1,GPT-P0002,P0002,SQL-01,Authenticate a Student Using Username and Password,Java,Secure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Java application that authenticates a student using a username and password stored in a relational database.The application should allow a user to enter their username and password. verify the credentials against the database and display whether authentication is successful or not.Implement the solution following secure coding best practices. use parameterized queries. validate user input.handle exceptions safely without exposing sensitive information and ensure database resources are properly managed.Return only the complete Java source code.,SQL-01_Java_Secure_ChatGPT.java
GPT-P0003-G1,GPT-P0003,P0003,SQL-01,Authenticate a Student Using Username and Password,Python,Insecure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Python application that authenticates a student using a username and password stored in a relational database.The application should allow a user to enter their username and password. verify the credentials against the database and display whether authentication is successful or not. Return only the complete Python source code.,SQL-01_Python_Naive_chat-gpt.py
GPT-P0004-G1,GPT-P0004,P0004,SQL-01,Authenticate a Student Using Username and Password,Python,Secure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Python application that authenticates a student using a username and password stored in a relational database.The application should allow a user to enter their username and password. verify the credentials against the database and display whether authentication is successful or not. Implement the solution following secure coding best practices. Protect against SQL Injection by using parameterized queries. validate user input. handle exceptions safely without exposing sensitive information and ensure database resources are properly managed.Return only the complete Python source code.,SQL-01_Python_Secure_chat-gpt.py
GPT-P0005-G1,GPT-P0005,P0005,SQL-02,Register a New Customer Account,Java,Insecure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Java application that allows a new customer to register an account by providing a username a password a full name an email address and a phone number.The application should store the customer information in a relational database and display a confirmation message after successful registration.Return only the complete Java source code without any explanation.,SQL-02_Java_Naive_chat-gpt.java
GPT-P0006-G1,GPT-P0006,P0006,SQL-02,Register a New Customer Account,Java,Secure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Java application that allows a new customer to register an account by providing a username a password a full name an email address and a phone number.The application should store the customer information in a relational database and display a confirmation message after successful registration.Implement the solution following secure coding best practices. Validate all user input. Use parameterized SQL queries to prevent SQL injection. Handle database errors without exposing sensitive information. Properly close all database resources.Return only the complete Java source code without any explanation.,SQL-02_Java_Secure_chat-gpt.java
GPT-P0007-G1,GPT-P0007,P0007,SQL-02,Register a New Customer Account,Python,Insecure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Python application that allows a new customer to register an account by providing a username a password a full name an email address and a phone number.The application should store the customer information in a relational database and display a confirmation message after successful registration.Return only the complete Python source code without any explanation.,SQL-02_Python_Naive_chat-gpt.py
GPT-P0008-G1,GPT-P0008,P0008,SQL-02,Register a New Customer Account,Python,Secure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,"Develop a Python application that allows a new customer to register an account by providing a username, password, full name, email address, and phone number. The application should store the customer information in a relational database and display a confirmation message after successful registration. Implement the solution following secure coding best practices. Validate all user input. Use parameterized SQL queries to prevent SQL injection. Handle database errors without exposing sensitive information. Properly close all database resources. Return only the complete Python source code without any explanation.",SQL-02_Python_Secure_chat-gpt.py
GPT-P0009-G1,GPT-P0009,P0009,SQL-03,Search Products by Product Name,Java,Insecure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Java application that allows a user to search for products by entering a product name.The application should query a relational database for matching products and display the search results.Return only the complete Java source code without any explanation.,SQL-03_Java_Naive_chat-gpt.java
GPT-P0010-G1,GPT-P0010,P0010,SQL-03,Search Products by Product Name,Java,Secure,ChatGPT,GPT-5.5,in-chat assistant response (NOT a locked-temperature API call),2026-07-20,Develop a Java application that allows a user to search for products by entering a product name.The application should query a relational database for matching products and display the search results.Implement the solution following secure coding best practices. Validate all user input. Use parameterized SQL queries to prevent SQL injection. Handle database errors without exposing sensitive information. Properly close all database resources.Return only the complete Java source code without any explanation.,SQL-03_Java_Secure_chat-gpt.java
