SampleID,PromptID,TaskID,TaskName,Language,PromptStyle,ModelName,ModelVersion,AccessMethod,GenerationDate
CLD-P0001,P0001,SQL-01,Authenticate a Student Using Username and Password,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0001,P0001,SQL-01,Authenticate a Student Using Username and Password,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0002,P0002,SQL-01,Authenticate a Student Using Username and Password,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0002,P0002,SQL-01,Authenticate a Student Using Username and Password,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0003,P0003,SQL-01,Authenticate a Student Using Username and Password,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0003,P0003,SQL-01,Authenticate a Student Using Username and Password,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0004,P0004,SQL-01,Authenticate a Student Using Username and Password,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0004,P0004,SQL-01,Authenticate a Student Using Username and Password,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0005,P0005,SQL-02,Register a New Customer Account,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0005,P0005,SQL-02,Register a New Customer Account,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0006,P0006,SQL-02,Register a New Customer Account,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0006,P0006,SQL-02,Register a New Customer Account,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0007,P0007,SQL-02,Register a New Customer Account,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0007,P0007,SQL-02,Register a New Customer Account,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0008,P0008,SQL-02,Register a New Customer Account,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0008,P0008,SQL-02,Register a New Customer Account,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0009,P0009,SQL-03,Search Products by Product Name,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0009,P0009,SQL-03,Search Products by Product Name,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0010,P0010,SQL-03,Search Products by Product Name,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0010,P0010,SQL-03,Search Products by Product Name,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0011,P0011,SQL-03,Search Products by Product Name,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0011,P0011,SQL-03,Search Products by Product Name,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0012,P0012,SQL-03,Search Products by Product Name,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0012,P0012,SQL-03,Search Products by Product Name,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
