Language,generatedFile,CWE,VulnerabilityName,OWASPTop10Category,Severity,ToolsFlagging,ToolCount,CodeLocation,message
Java,CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_81_bad.java,CWE-319,Cleartext Transmission of Sensitive Information,A02:2021-Cryptographic Failures,MINOR,Semgrep,1,Line 32,Default session middleware settings: `setSecure` not set to true. This ensures that the cookie is sent only over HTTPS to prevent cross-site scripting attacks.
Java,CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_81_bad.java,CWE-614,Sensitive Cookie Without 'Secure' Attribute,A05:2021-Security Misconfiguration,MAJOR,CodeQL;Semgrep,2,Line 34,Cookie is added to response without the 'secure' flag being set.
Java,CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_81_bad.java,CWE-1004,Sensitive Cookie Without 'HttpOnly' Flag,A05:2021-Security Misconfiguration,MINOR,Semgrep,1,Line 34,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);'
Java,CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_81_goodB2G.java,CWE-319,Cleartext Transmission of Sensitive Information,A02:2021-Cryptographic Failures,MINOR,Semgrep,1,Line 32,Default session middleware settings: `setSecure` not set to true. This ensures that the cookie is sent only over HTTPS to prevent cross-site scripting attacks.
Java,CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_81_goodB2G.java,CWE-614,Sensitive Cookie Without 'Secure' Attribute,A05:2021-Security Misconfiguration,MAJOR,CodeQL;Semgrep,2,Line 34,Cookie is added to response without the 'secure' flag being set.
Java,CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_81_goodB2G.java,CWE-1004,Sensitive Cookie Without 'HttpOnly' Flag,A05:2021-Security Misconfiguration,MINOR,Semgrep,1,Line 34,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);'
Java,CWE78_OS_Command_Injection__Environment_81_bad.java,CWE-78,OS Command Injection,A03:2021-Injection,MAJOR,CodeQL,1,Line 41,Command line is built with string concatenation.
Java,CWE78_OS_Command_Injection__connect_tcp_81_bad.java,CWE-78,OS Command Injection,A03:2021-Injection,MAJOR,CodeQL,1,Line 41,Command line is built with string concatenation.
Java,CWE89_SQL_Injection__Environment_executeBatch_81_bad.java,CWE-89,SQL Injection,A03:2021-Injection,MAJOR,CodacyCLI;CodeQL;Semgrep;Sonar,4,Line 45,"Formatted string used in a SQL statement (addBatch), SQL injection risk if variables aren't sanitized. Use PreparedStatement instead."
Java,CWE89_SQL_Injection__connect_tcp_executeQuery_81_bad.java,CWE-89,SQL Injection,A03:2021-Injection,MAJOR,CodacyCLI;CodeQL;Semgrep;Sonar,4,Line 42,"Formatted string used in a SQL statement (executeQuery), SQL injection risk if variables aren't sanitized. Use PreparedStatement instead."
Java,CWE90_LDAP_Injection__Environment_81_bad.java,CWE-90,LDAP Injection,A03:2021-Injection,MINOR,Semgrep,1,Line 31,"Detected non-constant data passed into an LDAP query. If this data can be controlled by an external user, this is an LDAP injection. Ensure data passed to an LDAP query is not controllable; or properly sanitize the data."
Python,BenchmarkTest00168.py,CWE-78,OS Command Injection,A03:2021-Injection,BLOCKER,CodacyCLI;CodeQL;Semgrep,3,Line 60,"subprocess.run called with shell=True, enables command injection."
Python,BenchmarkTest00283.py,CWE-89,SQL Injection,A03:2021-Injection,MINOR,Semgrep,1,Line 49,Detected possible formatted SQL query. Use parameterized queries instead.
Python,BenchmarkTest00343.py,CWE-95,Eval / Code Injection,A03:2021-Injection,MINOR,Semgrep,1,Line 44,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
Python,BenchmarkTest00353.py,CWE-22,Path Traversal,A01:2021-Broken Access Control,MAJOR,CodeQL,1,Line 48,This path depends on a [user-provided value](1).
Python,BenchmarkTest00433.py,CWE-502,Insecure Deserialization,A08:2021-Software and Data Integrity Failures,BLOCKER,CodacyCLI;CodeQL;Semgrep,3,Line 46,"Unsafe YAML deserialization (yaml.Loader), enables arbitrary code execution."
Python,BenchmarkTest00456.py,CWE-611,XML External Entity (XXE) Injection,A05:2021-Security Misconfiguration,MAJOR,CodacyCLI;Semgrep,2,Line 49,"Native xml library vulnerable to XXE attacks, use defusedxml instead."
Python,BenchmarkTest00460.py,CWE-611,XML External Entity (XXE) Injection,A05:2021-Security Misconfiguration,MAJOR,CodeQL,1,Line 45,XML parsing depends on a [user-provided value](1) without guarding against external entity expansion.
Python,BenchmarkTest00460.py,CWE-776,Uncontrolled Resource Consumption (XML Bomb),A04:2021-Insecure Design,MINOR,CodeQL,1,Line 45,XML parsing depends on a [user-provided value](1) without guarding against uncontrolled entity expansion.
Python,BenchmarkTest00460.py,CWE-79,Cross-Site Scripting (XSS),A03:2021-Injection,MAJOR,CodacyCLI;Semgrep,2,Line 56,"User input flows into manually constructed HTML string, XSS risk."
Python,BenchmarkTest00460.py,CWE-79,Cross-Site Scripting (XSS),A03:2021-Injection,MAJOR,CodacyCLI;Semgrep,2,Line 60,"User input flows into manually constructed HTML string, XSS risk."
Python,BenchmarkTest00585.py,CWE-327,Use of Weak/Broken Cryptographic Algorithm (SHA1),A02:2021-Cryptographic Failures,CRITICAL,CodacyCLI;Semgrep;Sonar,3,Line 56,"SHA1 hash algorithm is insecure, use SHA256 or SHA3 instead."
Python,BenchmarkTest00809.py,CWE-79,Cross-Site Scripting (XSS),A03:2021-Injection,MINOR,Semgrep,1,Line 57,"Be careful with `flask.make_response()`. If this response is rendered onto a webpage, this could create a cross-site scripting (XSS) vulnerability. `flask.make_response()` will not autoescape HTML. If you are rendering HTML, write your HTML in a template file and use `flask.render_template()` which will take care of escaping. If you are returning data from an API, consider using `flask.jsonify()`."
Python,BenchmarkTest00809.py,CWE-20,Cookie Constructed from User-Supplied Input,A03:2021-Injection,MINOR,CodeQL,1,Line 58,Cookie is constructed from a [user-supplied input](1).
Python,BenchmarkTest00809.py,CWE-614,Sensitive Cookie Without 'Secure' Attribute,A05:2021-Security Misconfiguration,MINOR,Semgrep,1,Line 58,"Found a Flask cookie with insecurely configured properties.  By default the secure, httponly and samesite ar configured insecurely. cookies should be handled securely by setting `secure=True`, `httponly=True`, and `samesite='Lax'` in response.set_cookie(...). If these parameters are not properly set, your cookies are not properly protected and are at risk of being stolen by an attacker. Include the `secure=True`, `httponly=True`, `samesite='Lax'` arguments or set these to be true in the Flask configuration."
Python,BenchmarkTest00892.py,CWE-95,Eval / Code Injection,A03:2021-Injection,MINOR,Semgrep,1,Line 51,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
Python,BenchmarkTest01004.py,CWE-22,Path Traversal,A01:2021-Broken Access Control,MAJOR,CodeQL,1,Line 44,This path depends on a [user-provided value](1).
Python,BenchmarkTest01096.py,CWE-502,Insecure Deserialization,A08:2021-Software and Data Integrity Failures,MAJOR,CodeQL;Semgrep,2,Line 47,Unsafe deserialization depends on a [user-provided value](1).
Python,BenchmarkTest01098.py,CWE-78,OS Command Injection,A03:2021-Injection,BLOCKER,CodacyCLI;CodeQL;Semgrep,3,Line 53,"subprocess.run called with shell=True, enables command injection."
