FindingID,OriginalFindingID,Tool,RuleID,CWE,Severity,Confidence,FilePath,CodeLocation,Message,ToolAgreementCount,ToolsAgreeing
BAN-F00001,F00001,Bandit,B413,CWE-327,HIGH,HIGH,(insecure )Encrypt a text message using AES.py,Line 4,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,1,Bandit
BAN-F00002,F00002,Bandit,B413,CWE-327,HIGH,HIGH,(insecure )Encrypt a text message using AES.py,Line 5,The pyCrypto library and its module pad are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,1,Bandit
BAN-F00003,F00003,Bandit,B108,CWE-377,MEDIUM,MEDIUM,(insecure) Compress a directory.py,Line 38-41,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00004,F00004,Bandit,B108,CWE-377,MEDIUM,MEDIUM,(insecure) Compress a directory.py,Line 38-41,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00005,F00005,Bandit,B303,CWE-327,MEDIUM,HIGH,(insecure) Create a digital signature .py,Line 20,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",2,"Bandit, Semgrep OSS"
BAN-F00006,F00006,Bandit,B413,CWE-327,HIGH,HIGH,(insecure) Decrypt a file.py,Line 7,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,1,Bandit
BAN-F00007,F00007,Bandit,B413,CWE-327,HIGH,HIGH,(insecure) Decrypt a file.py,Line 8,The pyCrypto library and its module unpad are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,1,Bandit
BAN-F00008,F00008,Bandit,B403,CWE-502,LOW,HIGH,(insecure) Deserialize a customer profile.py,Line 4,Consider possible security implications associated with pickle module.,2,"Bandit, Semgrep OSS"
BAN-F00009,F00009,Bandit,B301,CWE-502,MEDIUM,HIGH,(insecure) Deserialize a customer profile.py,Line 17,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",2,"Bandit, Semgrep OSS"
BAN-F00010,F00010,Bandit,B201,CWE-94,HIGH,MEDIUM,(insecure) Employee Management System.py,Line 40-44,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00011,F00011,Bandit,B104,CWE-605,MEDIUM,MEDIUM,(insecure) Employee Management System.py,Line 41,Possible binding to all interfaces.,1,Bandit
BAN-F00012,F00012,Bandit,B413,CWE-327,HIGH,HIGH,(insecure) Encrypt a file.py,Line 7,The pyCrypto library and its module DES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,3,"Bandit, CodeQL, Semgrep OSS"
BAN-F00013,F00013,Bandit,B413,CWE-327,HIGH,HIGH,(insecure) Encrypt a file.py,Line 8,The pyCrypto library and its module pad are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,3,"Bandit, CodeQL, Semgrep OSS"
BAN-F00014,F00014,Bandit,B304,CWE-327,HIGH,HIGH,(insecure) Encrypt a file.py,Line 16,Use of insecure cipher Crypto.Cipher.DES.new. Replace with a known secure cipher such as AES.,3,"Bandit, CodeQL, Semgrep OSS"
BAN-F00015,F00015,Bandit,B404,CWE-78,LOW,HIGH,(insecure) Execute a shell command .py,Line 5,Consider possible security implications associated with the subprocess module.,2,"Bandit, Semgrep OSS"
BAN-F00016,F00016,Bandit,B602,CWE-78,HIGH,HIGH,(insecure) Execute a shell command .py,Line 12,"subprocess call with shell=True identified, security issue.",2,"Bandit, Semgrep OSS"
BAN-F00017,F00017,Bandit,B311,CWE-330,LOW,HIGH,(insecure) Generate a secure random tokena.py,Line 11,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,1,Bandit
BAN-F00018,F00018,Bandit,B108,CWE-377,MEDIUM,MEDIUM,(insecure) Handle a temporary file.py,Line 11,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00019,F00019,Bandit,B403,CWE-502,LOW,HIGH,(insecure) Import application data.py,Line 6,Consider possible security implications associated with pickle module.,2,"Bandit, Semgrep OSS"
BAN-F00020,F00020,Bandit,B301,CWE-502,MEDIUM,HIGH,(insecure) Import application data.py,Line 12,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",2,"Bandit, Semgrep OSS"
BAN-F00021,F00021,Bandit,B201,CWE-94,HIGH,MEDIUM,(insecure) Manage application configuration.py,Line 32-36,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00022,F00022,Bandit,B104,CWE-605,MEDIUM,MEDIUM,(insecure) Manage application configuration.py,Line 33,Possible binding to all interfaces.,1,Bandit
